game_pk,year,date,matchup,R,HR,K,H,temp,dew,wind,dir,wind_bucket,cf_bearing
51868,2011,06/18/2011,Vanderbilt 7 - North Carolina 3,10,,,,74,66,10.4,320,out,135
51872,2011,06/18/2011,Texas 4 - Florida 8,12,,,,79,68,6.9,360,out,135
51876,2011,06/19/2011,California 1 - Virginia 4,5,,,,82,69,5.8,150,in,135
51880,2011,06/19/2011,Texas A&M 4 - South Carolina 5,9,,,,88,66,11.5,120,in,135
51894,2011,06/20/2011,North Carolina 3 - Texas 0,3,,,,82,69,20.7,140,in,135
51899,2011,06/20/2011,Florida 3 - Vanderbilt 1,4,,,,84,72,17.3,100,in,135
51904,2011,06/21/2011,California 7 - Texas A&M 3,10,,,,69,61,21.9,220,cross,135
51908,2011,06/21/2011,South Carolina 7 - Virginia 1,8,,,,68,63,20.7,280,out,135
51914,2011,06/22/2011,North Carolina 1 - Vanderbilt 5,6,,,,68,57,20.7,300,out,135
51919,2011,06/24/2011,Vanderbilt 4 - Florida 6,10,,,,76,58,5.8,0,out,135
51924,2011,06/23/2011,Virginia 8 - California 1,9,,,,75,58,8.1,350,out,135
51929,2011,06/24/2011,Virginia 2 - South Carolina 3,5,,,,78,57,12.7,120,in,135
51955,2011,06/27/2011,South Carolina 2 - Florida 1,3,,,,77,58,11.5,330,out,135
51959,2011,06/28/2011,Florida 2 - South Carolina 5,7,,,,79,57,13.8,160,in,135
220637,2012,06/15/2012,Stony Brook 1 - UCLA 9,10,,,,69,64,13.8,340,out,135
220638,2012,06/15/2012,Arizona 4 - Florida St. 3,7,,,,72,62,4.6,280,out,135
220639,2012,06/17/2012,UCLA 0 - Arizona 4,4,,,,89,67,18.4,170,in,135
220640,2012,06/17/2012,Florida St. 12 - Stony Brook 2,14,,,,89,72,21.9,170,in,135
220641,2012,06/19/2012,UCLA 1 - Florida St. 4,5,,,,89,67,25.3,180,in,135
220642,2012,06/21/2012,Florida St. 3 - Arizona 10,13,,,,80,54,9.2,10,cross,135
220644,2012,06/16/2012,Kent St. 1 - Arkansas 8,9,,,,77,67,6.9,350,out,135
220645,2012,06/16/2012,South Carolina 7 - Florida 3,10,,,,79,66,3.5,330,out,135
220646,2012,06/18/2012,Arkansas 2 - South Carolina 1,3,,,,92,70,12.7,180,in,135
220647,2012,06/18/2012,Florida 4 - Kent St. 5,9,,,,95,69,15,190,cross,135
220648,2012,06/21/2012,Kent St. 1 - South Carolina 4,5,,,,73,58,4.6,300,out,135
220649,2012,06/21/2012,South Carolina 2 - Arkansas 0,2,,,,75,57,3.5,90,in,135
220650,2012,06/22/2012,Arkansas 2 - South Carolina 3,5,,,,80,57,12.7,130,in,135
220651,2012,06/24/2012,South Carolina 1 - Arizona 5,6,,,,89,75,9.2,50,cross,135
220652,2012,06/25/2012,Arizona 4 - South Carolina 1,5,,,,83,67,12.7,110,in,135
306563,2013,06/15/2013,Mississippi St. 5 - Oregon St. 4,9,,,,78,69,4.6,210,cross,135
306564,2013,06/15/2013,Indiana 2 - Louisville 0,2,,,,81,64,9.2,210,cross,135
306565,2013,06/17/2013,Mississippi St. 5 - Indiana 4,9,,,,86,56,13.8,20,cross,135
306566,2013,06/17/2013,Louisville 4 - Oregon St. 11,15,,,,86,59,8.1,310,out,135
306567,2013,06/19/2013,Oregon St. 1 - Indiana 0,1,,,,84,62,19.6,150,in,135
306568,2013,06/21/2013,Oregon St. 1 - Mississippi St. 4,5,,,,88,72,18.4,130,in,135
306570,2013,06/16/2013,NC State 8 - North Carolina 1,9,,,,83,59,3.5,80,cross,135
306571,2013,06/16/2013,UCLA 2 - LSU 1,3,,,,85,53,6.9,20,cross,135
306572,2013,06/18/2013,UCLA 2 - NC State 1,3,,,,82,53,0,0,out,135
306573,2013,06/18/2013,North Carolina 4 - LSU 2,6,,,,74,64,0,0,out,135
306574,2013,06/20/2013,North Carolina 7 - NC State 0,7,,,,88,72,19.6,160,in,135
306575,2013,06/21/2013,North Carolina 1 - UCLA 4,5,,,,93,72,18.4,180,in,135
306577,2013,06/24/2013,UCLA 3 - Mississippi St. 1,4,,,,82,71,13.8,140,in,135
306578,2013,06/25/2013,Mississippi St. 0 - UCLA 8,8,,,,87,73,12.7,170,in,135
484548,2014,06/14/2014,UC Irvine 3 - Texas 1,4,,,,83,65,29.9,160,in,135
484549,2014,06/14/2014,Louisville 3 - Vanderbilt 5,8,,,,82,67,24.2,150,in,135
484550,2014,06/16/2014,Vanderbilt 6 - UC Irvine 4,10,,,,86,70,23,190,cross,135
484551,2014,06/16/2014,Texas 4 - Louisville 1,5,,,,85,73,28.8,130,in,135
484552,2014,06/18/2014,Texas 1 - UC Irvine 0,1,,,,91,72,17.3,180,in,135
484553,2014,06/20/2014,Vanderbilt 0 - Texas 4,4,,,,90,58,17.3,170,in,135
484554,2014,06/21/2014,Texas 3 - Vanderbilt 4,7,,,,85,68,10.4,170,in,135
484555,2014,06/15/2014,Texas Tech 2 - TCU 3,5,,,,78,55,16.1,280,out,135
484556,2014,06/15/2014,Ole Miss 1 - Virginia 2,3,,,,80,53,8.1,240,cross,135
484557,2014,06/17/2014,TCU 2 - Virginia 3,5,,,,90,72,18.4,180,in,135
484558,2014,06/17/2014,Texas Tech 1 - Ole Miss 2,3,,,,88,70,23,170,in,135
484559,2014,06/19/2014,Ole Miss 6 - TCU 4,10,,,,86,62,6.9,260,cross,135
